"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home","skills"
696697,"Data Analyst/Senior Data Analyst - Customer Support and Services...","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-01-31","","electron"
696697,"Data Analyst/Senior Data Analyst - Customer Support and Services...","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-01-31","","excel"
696697,"Data Analyst/Senior Data Analyst - Customer Support and Services...","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-01-31","","word"
696697,"Data Analyst/Senior Data Analyst - Customer Support and Services...","Arcadia","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-01-31","","powerpoint"
558215,"Senior Data Analyst","Innovaccer","Noida, Uttar Pradesh, India","Full-time","111175.0","2023-06-28","","sql"
558215,"Senior Data Analyst","Innovaccer","Noida, Uttar Pradesh, India","Full-time","111175.0","2023-06-28","","python"
558215,"Senior Data Analyst","Innovaccer","Noida, Uttar Pradesh, India","Full-time","111175.0","2023-06-28","","aws"
558215,"Senior Data Analyst","Innovaccer","Noida, Uttar Pradesh, India","Full-time","111175.0","2023-06-28","","redshift"
558215,"Senior Data Analyst","Innovaccer","Noida, Uttar Pradesh, India","Full-time","111175.0","2023-06-28","","snowflake"
558215,"Senior Data Analyst","Innovaccer","Noida, Uttar Pradesh, India","Full-time","111175.0","2023-06-28","","github"
1751462,"Recruitment Data Analyst","Framestore","Mumbai, Maharashtra, India","Full-time","111175.0","2023-06-07","","tableau"
1751462,"Recruitment Data Analyst","Framestore","Mumbai, Maharashtra, India","Full-time","111175.0","2023-06-07","","power bi"
802861,"Data Engineer","Sterlite Technologies Limited","Anywhere","Full-time","110000.0","2023-02-28",1,"python"
802861,"Data Engineer","Sterlite Technologies Limited","Anywhere","Full-time","110000.0","2023-02-28",1,"aws"
802861,"Data Engineer","Sterlite Technologies Limited","Anywhere","Full-time","110000.0","2023-02-28",1,"pandas"
802861,"Data Engineer","Sterlite Technologies Limited","Anywhere","Full-time","110000.0","2023-02-28",1,"numpy"
802861,"Data Engineer","Sterlite Technologies Limited","Anywhere","Full-time","110000.0","2023-02-28",1,"flask"
61465,"Senior Market Research Analyst","Roche","India","Full-time","106983.5","2023-12-23","","sql"
61465,"Senior Market Research Analyst","Roche","India","Full-time","106983.5","2023-12-23","","r"
61465,"Senior Market Research Analyst","Roche","India","Full-time","106983.5","2023-12-23","","sas"
61465,"Senior Market Research Analyst","Roche","India","Full-time","106983.5","2023-12-23","","sas"
61465,"Senior Market Research Analyst","Roche","India","Full-time","106983.5","2023-12-23","","spss"
485259,"Product Data Manager - 3D","Media.Monks","New Delhi, Delhi, India","Full-time","105650.0","2023-05-24","","express"
485259,"Product Data Manager - 3D","Media.Monks","New Delhi, Delhi, India","Full-time","105650.0","2023-05-24","","unreal"
217399,"User Enablement Learning Technology and Data Manager","insightsoftware","Chennai, Tamil Nadu, India","Full-time","105650.0","2023-08-15","","html"
217399,"User Enablement Learning Technology and Data Manager","insightsoftware","Chennai, Tamil Nadu, India","Full-time","105650.0","2023-08-15","","css"
217399,"User Enablement Learning Technology and Data Manager","insightsoftware","Chennai, Tamil Nadu, India","Full-time","105650.0","2023-08-15","","azure"
217399,"User Enablement Learning Technology and Data Manager","insightsoftware","Chennai, Tamil Nadu, India","Full-time","105650.0","2023-08-15","","windows"
217399,"User Enablement Learning Technology and Data Manager","insightsoftware","Chennai, Tamil Nadu, India","Full-time","105650.0","2023-08-15","","excel"
614701,"Data Analyst","NielsenIQ","Mumbai, Maharashtra, India","Full-time","105000.0","2023-07-15","","python"
614701,"Data Analyst","NielsenIQ","Mumbai, Maharashtra, India","Full-time","105000.0","2023-07-15","","r"
614701,"Data Analyst","NielsenIQ","Mumbai, Maharashtra, India","Full-time","105000.0","2023-07-15","","spss"
525119,"Executive - Credit Controller and Project Data Analyst","Ramboll","Hyderabad, Telangana, India","Full-time","105000.0","2023-07-20","","excel"
525119,"Executive - Credit Controller and Project Data Analyst","Ramboll","Hyderabad, Telangana, India","Full-time","105000.0","2023-07-20","","power bi"
682096,"Data Analyst - Finance","ZeroFox","Bengaluru, Karnataka, India","Full-time","105000.0","2023-07-13","","sheets"
682096,"Data Analyst - Finance","ZeroFox","Bengaluru, Karnataka, India","Full-time","105000.0","2023-07-13","","flow"
563703,"Data Analyst - Transport","GoTo Group","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27","","sql"
563703,"Data Analyst - Transport","GoTo Group","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27","","swift"
563703,"Data Analyst - Transport","GoTo Group","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27","","tableau"
563703,"Data Analyst - Transport","GoTo Group","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27","","git"
456608,"Machine Learning Engineer","Quizizz","Bengaluru, Karnataka, India","Full-time","104668.0","2023-01-20","","sql"
456608,"Machine Learning Engineer","Quizizz","Bengaluru, Karnataka, India","Full-time","104668.0","2023-01-20","","python"
456608,"Machine Learning Engineer","Quizizz","Bengaluru, Karnataka, India","Full-time","104668.0","2023-01-20","","cassandra"
456608,"Machine Learning Engineer","Quizizz","Bengaluru, Karnataka, India","Full-time","104668.0","2023-01-20","","aws"
456608,"Machine Learning Engineer","Quizizz","Bengaluru, Karnataka, India","Full-time","104668.0","2023-01-20","","bigquery"
